post_id,title,category,score,num_comments,author,collected_at
47765374,Show HN: Kontext CLI – Credential broker for AI coding agents in Go,Technology,18,2,mc-serious,2026-04-14 21:44:11
47762864,Backblaze has stopped backing up your data,Technology,606,363,rrreese,2026-04-14 21:44:14
47761625,Multi-Agentic Software Development Is a Distributed Systems Problem,Technology,85,40,tie-in,2026-04-14 21:44:32
47714770,Show HN: Run GUIs as Scripts,entertainment,11,3,zero-st4rs,2026-04-14 21:44:40
47761723,MOS tech 6502 8-bit microprocessor in pure SQL powered by Postgres,Technology,58,8,adunk,2026-04-14 21:44:41
47728970,"Write less code, be more responsible",Technology,145,88,orhunp_,2026-04-14 21:44:46
47724408,The Great Majority: Body Snatching and Burial Reform in 19th-Century Britain,Technology,19,1,apollinaire,2026-04-14 21:44:47
47753689,Building a CLI for all of Cloudflare,Technology,321,104,soheilpro,2026-04-14 21:44:54
47708457,Rust Threads on the GPU,Technology,102,31,PaulHoule,2026-04-14 21:44:56
47758347,N-Day-Bench – Can LLMs find real vulnerabilities in real codebases?,Technology,86,28,mufeedvh,2026-04-14 21:45:03
47766430,War as a Pretext: Gulf States Are Tightening the Screws on Speech–Again,Technology,7,0,hn_acker,2026-04-14 21:45:05
47729046,Air Powered Segment Display? [video],Technology,124,11,ProfDreamer,2026-04-14 21:45:06
47766330,To teach in the era of ChatGPT is to know pain,Technology,8,2,ckemere,2026-04-14 21:45:10
47756772,GAIA – Open-source framework for building AI agents that run on local hardware,Technology,138,33,galaxyLogic,2026-04-14 21:45:18
47764164,The Case Against Gameplay Loops,Technology,46,47,coinfused,2026-04-14 21:45:23
47753472,Nothing Ever Happens: Polymarket bot that always buys No on non-sports markets,sports,458,252,m-hodges,2026-04-14 21:45:24
47756569,"Show HN: Ithihāsas – a character explorer for Hindu epics, built in a few hours",entertainment,161,42,cvrajeesh,2026-04-14 21:45:32
47759292,The AI revolution in math has arrived,Technology,97,50,sonabinu,2026-04-14 21:45:37
47750872,Servo is now available on crates.io,Technology,462,147,ffin,2026-04-14 21:45:42
47764975,Man suspected of Molotov attack Sam Altmans home charged with attempted murder,worldnews,9,1,Bender,2026-04-14 21:45:43
47755209,B-trees and database indexes (2024),Technology,112,41,tosh,2026-04-14 21:45:46
47751621,Initial mainline video capture and camera support for Rockchip RK3588,Technology,87,26,mfilion,2026-04-14 21:45:53
47752466,MEMS Array Chip Can Project Video the Size of a Grain of Sand,Technology,87,43,bookofjoe,2026-04-14 21:45:55
47744255,I ran Gemma 4 as a local model in Codex CLI,Technology,269,109,dvaughan,2026-04-14 21:46:04
47733217,Exploiting the most prominent AI agent benchmarks,Technology,581,140,Anon84,2026-04-14 21:46:06
47762851,Show HN: A stateful UI runtime for reactive web apps in Go,entertainment,8,4,derstruct,2026-04-14 21:46:25
47762994,Ransomware Is Growing Three Times Faster Than the Spending Meant to Stop It,worldnews,80,72,adulion,2026-04-14 21:46:28
47750821,Michigan 'digital age' bills pulled after privacy concerns raised,Technology,218,127,iamnothere,2026-04-14 21:46:29
47754179,Claude Code may be burning your limits with invisible tokens,Technology,46,6,jenic_,2026-04-14 21:46:31
47761371,Bear Roll – Daily roll of Bear Blog's top posts,Technology,8,2,freediver,2026-04-14 21:46:32
47761825,Roblox devs now need a subscription to share their games freely,sports,61,67,hallole,2026-04-14 21:46:34
47763185,An open letter to the UK Government on digital privacy,worldnews,13,4,vsajip,2026-04-14 21:46:40
47742200,Show HN: boringBar – a taskbar-style dock replacement for macOS,entertainment,510,292,a-ve,2026-04-14 21:47:00
47761442,Show HN: Deflect One – command line dashboard for managing Linux servers via SSH,entertainment,5,4,whitemanv,2026-04-14 21:47:10
47757552,Show HN: Continual Learning with .md,entertainment,31,28,wenhan_zhou,2026-04-14 21:47:11
47724352,Filing the corners off my MacBooks,entertainment,1398,672,normanvalentine,2026-04-14 21:47:13
47741460,How long-distance couples use digital games to facilitate intimacy (2025),sports,129,38,radeeyate,2026-04-14 21:47:14
47760360,An Amazon warehouse worker died on the job at Oregon facility,worldnews,13,1,cebert,2026-04-14 21:47:17
47741393,Textbooks and Methods of Note-Taking in Early Modern Europe (2008),entertainment,53,0,mooreds,2026-04-14 21:47:34
47738343,The Physics of GPS,science,162,35,maouida,2026-04-14 21:47:45
47739174,Show HN: Oberon System 3 runs natively on Raspberry Pi 3 (with ready SD card),entertainment,240,107,Rochus,2026-04-14 21:47:46
47698455,Starfling: A one-tap endless orbital slingshot game in a single HTML file,sports,625,152,iceberger2001,2026-04-14 21:48:16
47758453,Your Favorite Movies Were CIA Propaganda [video],entertainment,34,4,joe_mamba,2026-04-14 21:48:40
47722333,"Chimpanzees in Uganda locked in eight-year 'civil war', say researchers",worldnews,438,276,neversaydie,2026-04-14 21:48:47
47698111,Bevy game development tutorials and in-depth resources,sports,139,71,GenericCanadian,2026-04-14 21:48:57
47713495,Team from ETH Zurich make high quality quantum swap gate using a geometric phase,sports,237,56,joko42,2026-04-14 21:48:59
47749295,Show HN: Equirect – a Rust VR video player,sports,13,1,greggman65,2026-04-14 21:49:38
47762272,"Linux 7.0 Released with New Hardware Support, Optimizations and Self-Healing XFS",worldnews,21,0,isaacfrond,2026-04-14 21:49:46
47701769,The Bra-and-Girdle Maker That Fashioned the Impossible for NASA,science,135,19,sohkamyung,2026-04-14 21:49:50
47755938,Warp,worldnews,6,1,Resayours,2026-04-14 21:50:01
47747248,"Haunt, the 70s text adventure game, is now playable on a website",sports,82,26,jscalo,2026-04-14 21:50:11
47721997,Show HN: FluidCAD – Parametric CAD with JavaScript,entertainment,155,37,maouida,2026-04-14 21:50:16
47733066,New synthesis of astronomical measurements shows Hubble tension is real,entertainment,75,14,anigbrowl,2026-04-14 21:50:24
47708818,Native Instant Space Switching on macOS,science,642,326,PaulHoule,2026-04-14 21:50:32
47754329,Show HN: Farchive – SQLite-backed history-preserving compressed archive,entertainment,5,0,ekns,2026-04-14 21:50:34
47721946,JSON formatter Chrome plugin now closed and injecting adware,worldnews,287,136,jkl5xx,2026-04-14 21:50:55
47705413,Show HN: I built a Cargo-like build tool for C/C++,entertainment,176,168,randerson_112,2026-04-14 21:51:29
47722011,Show HN: A WYSIWYG word processor in Python,entertainment,91,39,chrisecker,2026-04-14 21:51:30
47702647,"Launch HN: Relvy (YC F24) – On-call runbooks, automated",entertainment,48,25,behat,2026-04-14 21:51:52
47745300,Show HN: A social feed with no strangers,entertainment,9,5,rpatni,2026-04-14 21:52:03
47728323,Relics of the Heroic Age of Manned Space Flight,science,20,1,zdgeier,2026-04-14 21:52:05
47721255,Show HN: Eve – Managed OpenClaw for work,entertainment,71,39,zachdive,2026-04-14 21:52:09
47758287,Dear Master (an open letter from an early Facebook employee),entertainment,14,2,plonkus,2026-04-14 21:52:19
47730522,Show HN: Waffle – Native macOS terminal that auto-tiles sessions into a grid,entertainment,40,21,olleeolleeollee,2026-04-14 21:52:37
47699470,The Life and Death of the Book Review,entertainment,30,7,lermontov,2026-04-14 21:52:39
47745543,New metal with triple copper's heat conduction challenges fundamental physics,science,30,13,thunderbong,2026-04-14 21:52:50
47745261,Vegetative Patients May Be More Aware Than We Knew,worldnews,35,13,bookofjoe,2026-04-14 21:53:37
47715339,Show HN: Keeper – embedded secret store for Go (help me break it),entertainment,63,33,babawere,2026-04-14 21:53:43
47745230,Sam Altman's home targeted in second attack,worldnews,152,361,babelfish,2026-04-14 21:53:48
47759281,NASA Moon Base User's Guide [pdf],science,6,1,sethbannon,2026-04-14 21:54:06
47736071,The Universal Standard Book Number,entertainment,13,4,novalis78,2026-04-14 21:54:13
47692043,Muse Spark: Scaling towards personal superintelligence,worldnews,392,367,chabons,2026-04-14 21:54:16
47689165,"Show HN: I pipe free sports streams into Jellyfin – no ads, just HLS",sports,120,36,pruz,2026-04-14 21:54:19
47694036,Show HN: Orange Juice – Small UX improvements that make HN easier to read,entertainment,147,158,latchkey,2026-04-14 21:54:30
47690797,Show HN: Go-Bt: Minimalist Behavior Trees for Go,entertainment,62,12,rvitorper,2026-04-14 21:54:59
47729994,Polymarket gamblers betting millions on war,worldnews,159,129,sandebert,2026-04-14 21:55:47
47693960,Flashback to a time when government reports were works of art,worldnews,30,12,NaOH,2026-04-14 21:55:53
47723243,Combining spicy foods with mint boosts anti-inflammatory effects 100x or more,sports,87,50,joeax,2026-04-14 21:56:08
47704430,Can It Resolve Doom? Game Engine in 2k DNS Records,sports,10,2,choult,2026-04-14 21:56:14
47761215,Pepsi was warned $7 for Doritos was too much. Now they are paying the price,worldnews,8,0,matthest,2026-04-14 21:56:31
47722566,DOJ wants to scrap Watergate-era rule that makes presidential records public,worldnews,262,69,tlhunter,2026-04-14 21:56:46
47718694,"""Negative"" views of Broadcom driving VMware migrations, rival says",worldnews,76,39,breve,2026-04-14 21:57:07
47717514,"Inflation Rose to 3.3% in March, Driven by Rising Fuel Costs",sports,63,3,JumpCrisscross,2026-04-14 21:57:09
47758029,He Warned About the Dangers of A.I. If Only His Father Had Listened,worldnews,8,1,ceejayoz,2026-04-14 21:57:23
